videoId,title,published_at,duration_sec,views,likes,comments
S6m2Wm34mNM,لمعلم ديباني طيب لينا طاجين فالغابة .. ودار برانك لضالة ميمكنش ههه,2023-08-13 12:44:16+00:00,2116.0,1039429,41494,5458
Sjtsx4vg9zc,الصيف للجميع: لمعلم ديباني وحل وسط الطبوكون.. ردة فعل الضالة ! لموت ديال الضحك هههه,2023-08-04 13:36:02+00:00,1430.0,525564,26724,754
PmxQRq0abS0,الصيف للجميع: ضيف الحلقة كيعاني من فوبيا ديال لبحر.. ديباني دوز اسعد نهار فحياتو !!,2023-08-01 12:02:59+00:00,1403.0,566225,28708,818
llQg0yH1QYk,وأخيرا درنا برانك فالضالة.. دبحنا ليه الدجاج ديالو ردة فعل خطيرة هههه,2023-07-14 15:05:43+00:00,1447.0,1062151,37695,805
RHq1TZC5mZw,هاد لعام عيدنا بحاولي مريض..والسبب هو لمعلم ديباني!,2023-06-29 20:19:36+00:00,1828.0,1293189,41881,851
_9mHO1d4m9k,دينا معانا لمعلم ديباني يختار لينا لحاولي ديال لعيد.. و قتلنا بالضحك فالرحبة 😂,2023-06-28 13:35:12+00:00,1391.0,825589,33981,896
RWz4VCI-9WQ,الوليد عيا من مشروع  تربية الدجاج .. شوفو شنو درنا ليه ؟,2023-06-26 16:58:31+00:00,734.0,348822,18219,291
wVuvqUhJ6h4,الضالة دشن الشطر الثاني ديال لمشروع .. وجبت ليه احمق معلم ! الهربة 🤣,2023-06-10 14:22:46+00:00,1229.0,1095957,39494,1002
hvEaUbOhB5k,لوليد دار مشروع تربية الدجاج .. كيفاش جاتو هاد الفكرة؟,2023-06-01 18:44:01+00:00,1303.0,501616,23712,477
e2CU6YfpkRc,شدوني فالسنغال بسباب المخدرات.. مرض حسام بالملاريا؟,2023-05-04 18:27:59+00:00,3084.0,524643,22804,531
mIcI9QYAt9g,عطيناه يجرب الطموبيل..وصضمنا كان غيتخشا فالحيط !,2023-04-24 14:04:13+00:00,1655.0,432478,21076,575
6Yb5rgY9vQg,فطرنا عند عائلة فغامبيا .. ومول الدارجبد علينا زرواطة ! ها علاش؟,2023-04-19 17:17:26+00:00,1542.0,545437,24459,1012
GBlgAjKqGho,الجزء التاني: جربنا اكل الشوارع غامبيا 🇬🇲.. بسباب الماكلا ديالهوم كنت غنت*قيا🤐!,2023-04-17 16:30:09+00:00,1050.0,430613,17653,373
w6j46Y7D86Y,دابزت مع إفريقي فالبحر درت ! COMBAT.. لهربة 🤣,2023-04-15 15:00:25+00:00,929.0,329663,16497,315
z0CZCTbIFNM,جربنا أكل الشوارع ديال السينغال🇸🇳ميمكنش اشنو كلينا! (الجزء الأول),2023-04-11 15:08:13+00:00,941.0,353633,16658,387
KW6A6vNqoiY,خدمنا فالحوت مع السنغاليين🇸🇳 تسلاو لينا الفلوس !,2023-04-04 15:13:58+00:00,1082.0,420894,19555,278
pu4AUQmINks,دوزنا 24 ساعة فوق اطول واخطر قطار في العالم.. تجربة خطيرة,2023-03-29 20:28:40+00:00,1469.0,325673,19797,356
PkkGQiA9Qig,دزنا من اخطر الطرق فالعالم ..باش نركبو اطول قطار في العالم!,2023-03-26 14:23:09+00:00,1109.0,402010,19544,362
5IQKBk3VTl0,تريب جديد مع الدراري...رحلة إلى أفريقيا العميقة,2023-03-23 18:45:37+00:00,1158.0,407634,21680,294
2QEdXsF4WvA,متيقتش النتيجة 🔥,2023-03-18 16:29:51+00:00,36.0,474989,23049,408
oNx8-FgQLj8,تصدمت فاش شفت الوليد بالسنان لاول مرة ...تبدل بزااف,2023-03-18 13:00:42+00:00,1245.0,380085,23596,676
6rhuxRhzX-s,وأخيرا الحلم ديال الوليد تحقق...دار الهوليود سمايل,2023-03-15 11:50:44+00:00,1158.0,354450,25735,378
sHCET6Zkx9c,سوري عاود لينا قصتو مع الزلزال..أثر فينا بزاف,2023-03-11 19:26:20+00:00,1125.0,89770,4885,126
5BXNxvsMIDw,مشينا لمدينة أنطاكيا المنكوبة بسباب الزلزال...مزال الخير فالمغاربة,2023-03-04 13:29:06+00:00,851.0,238086,10157,406
jaFuN9ejLzY,مقارنة اسعار الخضار والفواكه بين تركيا والمغرب..الوليد تصضم,2023-02-26 11:44:39+00:00,1013.0,474793,19116,700
x1E_Ztd6NpE,Part 3: تحدي اقول لأبي نعم ليوم كامل..الضالة تسيف عليا فإزمير 😤,2023-02-18 14:20:41+00:00,713.0,371261,29955,334
ngR9L6Qdzww,لي عندو وليديه يتهلى فيهوم ❤️,2023-02-17 16:42:11+00:00,30.0,115127,9714,111
jTUYPSax4zk,سولنا رجل تركي على الزلزال.. وصدماتنا هضرتو 🥺,2023-02-11 17:27:15+00:00,1181.0,266019,15128,283
MPgjCum9FYs,كان غيصطيني فالطيارة 🤣🤣🤣,2023-02-10 20:49:59+00:00,61.0,339897,14816,165
KffEX1me4Wo,هذا هو السبب لي خلانا نغبرو لمدة طويلة..مفاجأة للوليد,2023-02-08 20:00:00+00:00,1080.0,332606,22019,314
TnpnCeyxgrs,تجربة اجتماعية : فرقنا 155 وجبة عشاء علي اطفال الشوارع,2022-12-31 17:31:25+00:00,1352.0,192690,15593,387
O9ZWFiRZFw0,استقبال اسطوري للمنتخب الوطني..لوليد سخف وسط الجمهور,2022-12-22 16:30:18+00:00,668.0,226524,12818,197
hr6NlRaEpkc,عشنا اجواء كأس العالم مع المتابعين..Maroc Vs Croatie,2022-11-24 16:51:54+00:00,734.0,191927,12676,159
bNOt1QeRfws,تحدي مع المتابعين ... جيبها عبار تربح دولار🤑,2022-11-06 11:56:28+00:00,1120.0,258353,15831,233
RpUYQcx6PRY,تحدي المشروبات...شربنا عصير ( للبن +الفلفلة..),2022-10-29 18:39:54+00:00,1185.0,529689,27151,448
uO38rtfZcTY,الجزء الثالث: تحدي يقول ليا لوليد  نعم ليوم كامل...بغيت نعرف شحال عندك ديال لفلوس؟😱,2022-10-25 11:30:14+00:00,955.0,374651,22938,300
-1ZRxcCIw2A,عيد ميلاد خيالي الواليد .. درت ليه مفاجأة ديتو لدار العجزة !!,2022-10-19 11:52:14+00:00,1124.0,215822,16680,480
0oVhY5WDV78,الصيف للجميع الحلقة الأخيرة : الاخ عصام دوز معانا نهار مكيتنساش,2022-10-09 10:57:46+00:00,1362.0,289437,25684,441
yKfK5RAjroQ,PART 3 :درنا مقارنة بين اغلى وارخص فندق فاكادير..تصدمنا بالفرق !,2022-10-01 13:05:08+00:00,1305.0,418142,27909,521
iIU6QZvoq-k,الجزء التاني: تحدي أقول لابي نعم ليوم كامل...لواليد غيدير الضالة,2022-09-21 11:55:15+00:00,1079.0,744987,66456,954
bJ79N9wYfoQ,الصيف للجميع: طالب معاشو كيبيع الفاكية... دوز اسعد نهار فحياتو !!,2022-09-11 16:12:48+00:00,1662.0,346289,32406,1097
YSrqx7fN8Kg,الصيف للجميع: خلينا عامل بناء يدوز احسن نهار فالصيف,2022-09-04 13:13:35+00:00,1425.0,406054,35269,956
ZlWBraxzYOs,تحدي أقول لابي نعم ليوم كامل...حسيت بالإستغلال؟,2022-08-24 11:29:05+00:00,1123.0,749521,71785,2096
ICLPHaXdXXA,PART 2:الفرق بين حياة البساطة وحياة الرفاهية...صدماتنا النتيجة !؟,2022-08-18 12:18:50+00:00,857.0,503720,34772,746
HLY_h80zN5w,PART 1: عشنا حياة البسطاء والرفاهية انا والواليد ... اشنو الفرق ؟,2022-08-14 12:57:28+00:00,1178.0,623394,40335,819
VpQkj8FtJFM,ردة الفعل ديالنا انا الواليد على الطرولات ديالكوم علينا,2022-08-12 15:22:51+00:00,853.0,454010,30140,652
8FVzWBSBRl8,اول مرة نبين معايا الواليد والواليدة.. رجعتهوم ليامات الشباب 😍,2022-08-03 13:58:59+00:00,1132.0,565693,34452,950
LdXU54WAtCE,لوليد معجبوش الحولي ديال عيد الاضحى,2022-07-10 21:24:20+00:00,847.0,957156,48456,639
oqUKZzdEmJE,جربنا نعيشو اجواء العيد قبل العيد..دوزنا العيد فالغابة ههه,2022-07-09 17:05:18+00:00,633.0,728487,38901,494
mrZhL0JAh2U,حاولنا ندخلو الفرحة على قلوب الناس..جزى الله المحسنين (فرقنا الحوالة 🐏),2022-07-06 17:10:11+00:00,758.0,345643,29690,592
qwy7kpDxmbc,مشينا نشريو كبش عيد الاضحى..بسباب الاثمنة مشريناش!!,2022-07-04 15:25:25+00:00,1077.0,716248,43810,774
tEdYU7_KeGk,سوق لأضاحي 2022 .. تلاقينا مع واحد السيدة عطات القاسح للواليد,2022-06-29 14:29:40+00:00,1274.0,502445,33163,707
YVCezeTOnEM,التحضيرات الاولى لمهرجان بوجلود اكادير,2022-06-25 13:08:38+00:00,935.0,284297,23811,602
jyMECaZ5prs,جربنا اخطر تحدي .. لعبنا كورة فتيران كيزلق لموت ديال الضحك هههه,2022-06-18 12:55:03+00:00,900.0,445398,25042,510
yKNFPljYeBM,درنا تحدي نقيو البحر.. ونصبت على الوليد ف 2000 درهم,2022-06-11 11:57:40+00:00,806.0,274735,20946,423
aomDMpaGh1Q,مشينا لفيستيڤال گناوة الصويرة .. الواليد كان غيسخف من كثرة الزحام 😱,2022-06-05 15:01:33+00:00,687.0,259149,19873,331
5-oA8USITCM,مشينا انا والواليد نجيبو العسل صدقنا  فقريص النحل هه (تجربة صعيبة),2022-06-01 12:59:26+00:00,956.0,340079,24551,639
0q7OBjUGlmM,اقوى تحدي في القناة..آخر واحد يخرج من برميل التلج يربح 5000 درهم!!!,2022-05-19 17:02:46+00:00,751.0,490806,31861,454
4be-ku_LV4Q,هاعلاش غبرنا؟.. حلينا مطور ديال طوموبيل الموت ديال ضحك ههه,2022-05-14 16:51:58+00:00,870.0,393433,24587,409
Tzwnpe3xYY8,درنا تحدي البالونات انا والدراري..الموت ديال الضحك,2022-03-31 20:41:39+00:00,635.0,525394,32865,514
N40hposhpDs,شعلات لينا العافية فالطوموبيل..تصدمنابردة فعل الناس؟ (تجربة إجتماعية),2022-03-27 12:00:30+00:00,609.0,355475,29816,480
gfOnTEnOTWg,تغديت انا والواليد فالسماء.. ردة فعل الواليد مني شاف معاد اول مرة !,2022-03-20 13:47:31+00:00,900.0,331034,24825,654
2S_Z9CCL09U,اشهر ناجي من حرب أكرانيا مهدي...يحكي تفاصيل الفيديو لاول مرة (بطل القطار),2022-03-18 17:00:59+00:00,1169.0,316485,27324,489
lsDPOlK8jfQ,يوم ملكي : لقاء صحفي مع الضالة,2022-03-05 20:08:53+00:00,647.0,463033,36908,1001
rtXUm49zaWo,ها علاش قررنا نديرو آخر فيديو ديال التفاعلات...الحلقة الاخيرة,2022-02-26 19:10:40+00:00,527.0,659492,49009,1197
WOTcIkGt7nY,غادي نبدلو الدار و هادي اول خطوة ... الواليد كانت غدوز عليه دكاكة,2022-02-19 18:56:40+00:00,968.0,467135,39657,1013
DU82IcFrtgI,تفاعلات كميائية...صدماتنا النتيجة !,2022-02-12 22:06:31+00:00,668.0,588706,56503,1189
WYGAK5B29O4,أسئلة محرجة بيني وبين الواليد.. شربني عاصير رجلين الدجاج..,2022-01-30 11:34:27+00:00,634.0,440867,41883,1102
vm-o0nFSqE4,PART 1 : الواليد عاش يوم ملكي,2022-01-16 11:39:11+00:00,1183.0,951280,78078,2899
C-i7hLWw9yo,شريت سيارة جديدة ودرت ليكوم مسابقة على پيكالتي.. الواليد تعصب بالفرحة ههه,2022-01-08 18:10:33+00:00,1218.0,650948,48805,28415
aHeNqak65fQ,تقلب بينا العاود بسباب واحد الحلمة جات الواليد !,2021-12-28 17:31:28+00:00,1428.0,712805,43910,1083
UJM79s6_x5A,تزوجت بلا خبار الواليد !,2021-12-11 23:07:34+00:00,367.0,1561799,125392,5706
Ojlg_TWDqXk,شريت لدراري جوج طوموبيلات كادو...شوفو ردة الفعل ديالهوم!!,2021-12-04 15:54:06+00:00,1125.0,542690,53608,1056
TVYgpfeTYGk,فالطريق لقينا حمار كيموت...باقي لينا نهار باش نوصلو مركش,2021-11-21 15:24:52+00:00,815.0,450196,33410,781
d6sX8Lkd8LM,تصدمنا فاش شفنا فندق الحمار من لداخل...ودرنا سباق مع ماطر كبار,2021-11-19 16:17:53+00:00,948.0,425222,28245,618
5QTXruIl8dg,دخلنا لسجن مهجور وقديم...متخيلوش اشنو لقينا فيه!!,2021-11-17 17:45:08+00:00,1377.0,630222,40304,749
eW4t58ltzRU,الدراري بداو تاني التبرهيش كانو غايقتلوني.. تسناو الرد ديالي,2021-11-15 14:19:24+00:00,1060.0,756125,46079,766
8R0r56F9V-c,قررنا نبيعو كاتكوت قبل ميقتل فينا شي واحد هههه,2021-11-10 13:23:09+00:00,1480.0,533460,36057,698
Z6mbiN2p7CI,كيفاش تربح 100 درهم.. جهلو لينا الحمير بسبابي وعاقبوني الدراري,2021-11-05 12:37:49+00:00,1108.0,492226,36192,918
GAl13ogTQ-k,اكفس نهار من نهار بدينا التريب هههه موصيبة تابعة موصبة,2021-10-31 13:53:14+00:00,1559.0,788319,50532,1291
ChFxB-aGjpM,عرضات علينا واحد السيدة احسن عراضة نساتنا فالطريق ههه,2021-10-27 13:46:08+00:00,1220.0,825012,60561,1236
_zszTrWDC_I,هربو لينا الحمير وسط الطريق.. الدراري عوتاني بغاو اكملو بالطاكسي,2021-10-24 13:05:15+00:00,1272.0,676764,45622,1098
hIAp2iGgn7I,الانظلاقة ديالنا فالتريب الجديد.. الواليد مسخاش بينا 😢 طراو لينا كواريت وسط الطريق,2021-10-20 11:54:32+00:00,1259.0,679128,49421,1166
K6ldj_eQ6uU,المفاجأة الكبرى للواليد بالحمير.. دوزنا الپيرمي ديال الحمير هههه,2021-10-17 12:42:13+00:00,1358.0,604490,44313,1433
e54cmV_oNJg,زدنا حمار جديد.. شرينا داكشي لي غايحتاجوه الحمير فالتريب الجديد,2021-10-13 11:59:51+00:00,1777.0,646976,45127,1246
evlAcPvX2Vg,تريب رجع بينا 25 عام للماضي 😱,2021-10-10 13:34:25+00:00,1737.0,652800,54209,1736
LYopVqigYvY,تحدي الشواية...شوفو شكون ربح 1000 درهم,2021-10-06 18:07:18+00:00,1049.0,845180,49615,981
SoLDcmHv8fg,عشنا نهار مع الكلاب انا والواليد والدراري.. عضني كلب وسط التدريب,2021-09-24 15:10:51+00:00,1451.0,751778,52116,1173
0d21UBpmvIo,الواليد طمع ليا فالتيتيز ديال اميڭل ونوضناها وسط الفيديو..,2021-09-12 13:45:50+00:00,638.0,465424,52296,1493
xMnB9NruCqQ,لحت للدراري الپيكالات فالبحر.. بسباب هادشي سالينا التريب ديالنا,2021-09-02 12:20:34+00:00,1049.0,1087414,64632,1515
mXbnZiuLbXg,ضاربت انا وحسام حيت شفر ليا پيكالا.. تحنسرنا بالليل نعسنا فالبحر !,2021-08-29 13:03:04+00:00,1245.0,1035817,65916,1559
EPY5_rlmQV4,شداتنا عاصفة ديال الريح فالصويرة.. فشلنا ديال بصح هاد المره :(,2021-08-26 14:24:39+00:00,1663.0,720173,42753,1266
imyp7Z6b1yo,الدراري مبغاوش يكملو معايا حيت عياو بزاف بالحرارة.. تخاصمت مع معاد,2021-08-20 15:34:10+00:00,1618.0,1034612,55125,1435
3CAWDH1a6xY,بداية التريب الجديد مع الدراري بالپيكالات.. تزاد معانا ضيف جديد !!,2021-08-15 12:45:27+00:00,1815.0,1099159,62171,1500
42E1HISUS5o,دوزنا نهار وسط البحر انا والواليد.. تغدينا وسط الماء والواليد تبوع لينا هههههه,2021-08-08 12:39:47+00:00,1620.0,1717494,85848,1464
Z9VZD3wGf30,اجواء يوم عيد الاضحى.. الواليد نوضها مع النسيب,2021-07-21 19:31:32+00:00,1122.0,2183494,112278,2166
srCRsO5gcWg,اجواء عيد الاضحى.. مشيت انا والواليد شرينا الاضحية ديال العيد,2021-07-20 14:16:05+00:00,1102.0,1197863,78096,1733
txBQ14fo17I,پرانكيت الواليد شريت ليه اصغر حاولي فالسوق.. ردة الفعل ديالو الهربة ههههه,2021-07-19 14:19:06+00:00,1363.0,1642831,99081,2400
